race_id,course,date,off_time,reason,candidates
rp_CHP_20260606_6.53,Chepstow,2026-06-06,6.53,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_7.25,Chepstow,2026-06-06,7.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_7.55,Chepstow,2026-06-06,7.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_8.25,Chepstow,2026-06-06,8.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_9.00,Chepstow,2026-06-06,9.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_1.20,Doncaster,2026-06-06,1.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_1.55,Doncaster,2026-06-06,1.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_2.30,Doncaster,2026-06-06,2.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_3.05,Doncaster,2026-06-06,3.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_3.45,Doncaster,2026-06-06,3.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_4.25,Doncaster,2026-06-06,4.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260606_5.00,Doncaster,2026-06-06,5.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_2.40,Epsom,2026-06-06,2.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_1.30,Epsom,2026-06-06,1.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_4.40,Epsom,2026-06-06,4.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_2.05,Epsom,2026-06-06,2.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_3.15,Epsom,2026-06-06,3.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_4.00,Epsom,2026-06-06,4.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_5.20,Epsom,2026-06-06,5.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260606_5.55,Epsom,2026-06-06,5.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HEX_20260606_7.13,Hexham,2026-06-06,7.13,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HEX_20260606_4.30,Hexham,2026-06-06,4.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HEX_20260606_5.05,Hexham,2026-06-06,5.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HEX_20260606_5.40,Hexham,2026-06-06,5.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HEX_20260606_6.10,Hexham,2026-06-06,6.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HEX_20260606_6.43,Hexham,2026-06-06,6.43,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_5.35,Lingfield,2026-06-06,5.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_6.05,Lingfield,2026-06-06,6.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_6.35,Lingfield,2026-06-06,6.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_7.05,Lingfield,2026-06-06,7.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_7.40,Lingfield,2026-06-06,7.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_8.10,Lingfield,2026-06-06,8.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIN_20260606_8.40,Lingfield,2026-06-06,8.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_1.40,Musselburgh,2026-06-06,1.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_2.15,Musselburgh,2026-06-06,2.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_2.50,Musselburgh,2026-06-06,2.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_3.28,Musselburgh,2026-06-06,3.28,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_4.10,Musselburgh,2026-06-06,4.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_4.45,Musselburgh,2026-06-06,4.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260606_5.15,Musselburgh,2026-06-06,5.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_1.45,Worcester,2026-06-06,1.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_2.20,Worcester,2026-06-06,2.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_2.55,Worcester,2026-06-06,2.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_3.33,Worcester,2026-06-06,3.33,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_4.15,Worcester,2026-06-06,4.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_4.50,Worcester,2026-06-06,4.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260606_5.25,Worcester,2026-06-06,5.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_5.10,Chepstow,2026-06-06,5.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_5.47,Chepstow,2026-06-06,5.47,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_1.50,Goodwood,2026-06-07,1.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_2.25,Goodwood,2026-06-07,2.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_3.00,Goodwood,2026-06-07,3.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_3.35,Goodwood,2026-06-07,3.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_4.10,Goodwood,2026-06-07,4.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_4.45,Goodwood,2026-06-07,4.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260607_5.20,Goodwood,2026-06-07,5.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_1.07,Navan,2026-06-07,1.07,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_1.42,Navan,2026-06-07,1.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_2.17,Navan,2026-06-07,2.17,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_2.52,Navan,2026-06-07,2.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_3.27,Navan,2026-06-07,3.27,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_4.02,Navan,2026-06-07,4.02,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_4.37,Navan,2026-06-07,4.37,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NAV_20260607_5.12,Navan,2026-06-07,5.12,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PER_20260607_2.07,Perth,2026-06-07,2.07,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PER_20260607_2.42,Perth,2026-06-07,2.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PER_20260607_3.17,Perth,2026-06-07,3.17,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PER_20260607_3.52,Perth,2026-06-07,3.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PER_20260607_4.27,Perth,2026-06-07,4.27,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PER_20260607_5.02,Perth,2026-06-07,5.02,NO_LOCAL_RESULT_FILE_MATCH,0
