course,off_time,runner_name,best_candidate_1,score_1,best_candidate_2,score_2,recommended_action,reason
NAA,4.18,Serendipia,Serenetta,0.6316,Serengeti,0.6316,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
NAA,4.18,Sibaza,Balzac,0.6667,Kimbara,0.6154,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,4.18,Wheres The Gold,Keep The Gold,0.7857,Wheres The Crumpet,0.6667,NO_MATCH,best fuzzy score 0.786 below 0.90 threshold
NAA,4.18,Xirivella,Mr Swivell,0.6316,Brielle,0.625,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
NAA,4.53,Darwin'S Angel,Maris Angel,0.8333,Dandy's Angel,0.8,NO_MATCH,best fuzzy score 0.833 below 0.90 threshold
NAA,4.53,Nephin Mountain,Penny Mountain,0.7586,Hawk Mountain,0.7143,NO_MATCH,best fuzzy score 0.759 below 0.90 threshold
NAA,4.53,Point Cartwright,Born Bright,0.5926,Kodi Bear Light,0.5806,NO_MATCH,best fuzzy score 0.593 below 0.90 threshold
NAA,5.30,Frescobaldi,Fire Coral,0.6667,Recobella,0.6,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,5.30,L L Koulsty,La Belle Forest,0.5385,Oust,0.5333,NO_MATCH,best fuzzy score 0.538 below 0.90 threshold
NAA,5.30,Sir Benji,Sir Benedict,0.7619,Spirit Genie,0.6667,NO_MATCH,best fuzzy score 0.762 below 0.90 threshold
NAA,5.30,Suzie Songs,Sierra Sands,0.6087,Six Wings,0.6,NO_MATCH,best fuzzy score 0.609 below 0.90 threshold
NAA,5.30,Yaupon De Replay,Kode Grey,0.56,You Done Well,0.5517,NO_MATCH,best fuzzy score 0.560 below 0.90 threshold
NMK,1.30,Kolkata Knight,Rolltight,0.6087,Jungle Knight,0.5926,NO_MATCH,best fuzzy score 0.609 below 0.90 threshold
NMK,1.30,Zelaina,Zarinca,0.7143,Melinda,0.7143,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
NMK,2.05,Amora Queen,America Queen,0.8333,Ipanema Queen,0.75,NO_MATCH,best fuzzy score 0.833 below 0.90 threshold
NMK,2.05,Arc Ole Ole,Parole Officer,0.64,Arch Legend,0.6364,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
NMK,2.05,Hard To Believe,What Fools Believe,0.7273,Whatafoolbelieves,0.6875,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
NMK,2.05,Heroics,Eroico,0.7692,Harmonics,0.75,NO_MATCH,best fuzzy score 0.769 below 0.90 threshold
NMK,2.05,Magnetude,Reimagined,0.6316,Macanudo,0.5882,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
NMK,2.40,Crepe Suzette,Red Letter,0.6087,Police Gazette,0.5926,NO_MATCH,best fuzzy score 0.609 below 0.90 threshold
NMK,2.40,Lava Stream,Lavatera,0.7368,Anaream,0.6667,NO_MATCH,best fuzzy score 0.737 below 0.90 threshold
NMK,2.40,Tiffany,Lc Tiffen,0.625,Tuff Days,0.625,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
NMK,3.15,Al Aali,Sallaal,0.7143,Alohi Alii,0.7059,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
NMK,3.15,Burdett Road,Secret Road,0.6957,Redemption Road,0.6667,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
NMK,3.15,Claymore,Glamorize,0.7059,00lady Morel,0.7,NO_MATCH,best fuzzy score 0.706 below 0.90 threshold
NMK,3.15,Enemy,Dear Enemy,0.6667,Kenkelly,0.6154,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NMK,3.15,Klassleader,Lars Soldier,0.6957,Bass Player,0.6364,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
NMK,3.15,Paddy The Squire,Pearly Squirrel,0.6452,Lady Of The Isles,0.6061,NO_MATCH,best fuzzy score 0.645 below 0.90 threshold
NMK,3.15,Plage De Havre,Lan De Ghaire,0.7407,Alice De Clare,0.6429,NO_MATCH,best fuzzy score 0.741 below 0.90 threshold
NMK,3.50,Dancing Rinca,Dancing Gemini,0.7407,Dancing Dame,0.72,NO_MATCH,best fuzzy score 0.741 below 0.90 threshold
NMK,3.50,Jonny Concrete,Sonny Corleone,0.6429,Dijon Gone,0.5833,NO_MATCH,best fuzzy score 0.643 below 0.90 threshold
NMK,3.50,Rajaking,Rating,0.7143,Rajjnatin,0.7059,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
NMK,4.25,Crown Board,Carrow Road,0.7273,Crimson Road,0.6957,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
