race_id,course,off_time,specialist,signal_type,predicted_horse,horse_id,score,actual_winner,hit,final_sp,timing_safety,source_artifact
923099,Lingfield,6.20,MARKET_DECEPTION_MODEL,specialist_score,Fire Thunder,9208608,0.4717,Fire Thunder,True,1.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923099,Lingfield,6.20,RPDC_LEADER,heuristic,Fire Thunder,9208608,3.3,Fire Thunder,True,1.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923100,Lingfield,6.50,PLACE_MODEL,calibrated_model,Pageant Girl,9092906,0.4782,Knock Three Times,False,23.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923100,Lingfield,6.50,LONGSHOT_MODEL,calibrated_model,Jazz Queen,9092927,0.0263,Knock Three Times,False,8.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923100,Lingfield,6.50,IMPROVEMENT_MODEL,specialist_score,Jazz Queen,9092927,0.0202,Knock Three Times,False,8.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923100,Lingfield,6.50,MARKET_DECEPTION_MODEL,specialist_score,Quantum Swift,9060389,0.0569,Knock Three Times,False,2.88,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923100,Lingfield,6.50,RPDC_LEADER,heuristic,Jazz Queen,9092927,2.5,Knock Three Times,False,8.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923096,Lingfield,7.20,PLACE_MODEL,calibrated_model,Desert Shadow,6952473,0.9547,Desert Shadow,True,3.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923096,Lingfield,7.20,LONGSHOT_MODEL,calibrated_model,Desert Shadow,6952473,0.0519,Desert Shadow,True,3.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923096,Lingfield,7.20,IMPROVEMENT_MODEL,specialist_score,Desert Shadow,6952473,0.0202,Desert Shadow,True,3.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923096,Lingfield,7.20,MARKET_DECEPTION_MODEL,specialist_score,Desert Shadow,6952473,0.1005,Desert Shadow,True,3.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923096,Lingfield,7.20,RPDC_LEADER,heuristic,Desert Shadow,6952473,1.8,Desert Shadow,True,3.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
