Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"BROSAY (GB)",2022,GELDING,"TASLEET (GB)","HATTYTOWN (GB)","Charlie Pike",89,-2,,,,,,,,,,
"BRUCE BANNER (IRE)",2022,GELDING,"STARSPANGLEDBANNER (AUS)","SPECIAL MEANING (GB)","Rebecca Menzies",55,-1,,,,,,,,100,,
"BUCKLAND BELLE (GB)",2023,FILLY,"ST MARK'S BASILICA (FR)","FEDERATION (GB)","Ollie Sangster",53,+3,,,,,,,,,,
"BULLINGTON BRY (GB)",2022,GELDING,"BATED BREATH (GB)","OH DREAM (GB)","Joey Ramsden",50,-2,,,,,,,,,,
"BUNDOK (GB)",2023,FILLY,"PINATUBO (IRE)","BAHAMADAM (GB)","Hughie Morrison",70,new,,,,,,,,,,
"BUNKER BAY (IRE)",2019,GELDING,"AUSTRALIA (GB)","ALF GUINEAS (IRE)","Micky Hammond",62,,,,,,,,,88,+6,
"BURGEON (GB)",2021,FILLY,"MASAR (IRE)","BADWEIA (USA)","David Killahena & Graeme McPherson",,,,,,,,,,74,-3,
"BURGUNDY MAN (FR)",2017,GELDING,"MANDURO (GER)","KAPIROVSKA (FR)","R. Mike Smith",,,,,,,87,,,87,new,
"BUY SOME TIME (IRE)",2018,GELDING,"DOYEN (IRE)","SEND TO WAR (GB)","R. Mike Smith",,,,,,,107,new,,107,,
"CAIM (GB)",2023,FILLY,"OASIS DREAM (GB)","PRADO (GB)","Edward Bethell",89,-2,,,,,,,,,,
"CALL GLORY (IRE)",2021,GELDING,"SOLDIER'S CALL (GB)","LA PERLA (SPA)","Ian Williams",56,-1,,,,,,,,,,
"CALL ME TARA (GB)",2017,FILLY,"KAYF TARA (GB)","CALL ME EMMA (IRE)","Fergal O'Brien",,,,,,,,,,105,-3,
"CANARIA QUEEN (GB)",2020,FILLY,"PASTORAL PURSUITS (GB)","GRAN CANARIA QUEEN (GB)","Tim Easterby",62,+1,,,,,,,,,,
"CANDY WARHOL (USA)",2019,GELDING,"TWIRLING CANDY (USA)","COSTUME (GB)","Scott Dixon",59,-1,,,,,,,,,,
"CAPITAL GUARANTEE (IRE)",2020,GELDING,"LOPE DE VEGA (IRE)","PROMISED MONEY (IRE)","David O'Meara",79,-1,,,,,,,,,,
"CAPTAIN BRUCE (IRE)",2023,GELDING,"AWTAAD (IRE)","SEDUCT (IRE)","Andrew Crook",47,-3,,,,,,,,,,
"CAPTAIN COOL (IRE)",2020,GELDING,"JET AWAY (GB)","LEGAL PROCEEDINGS (IRE)","Jennie Candlish",,,,,,,121,+12,,116,+7,
"CARBINE HARVESTER (FR)",2022,GELDING,"HELLO YOUMZAIN (FR)","BONITA QUEEN (FR)","William Haggas",75,-1,,82,-1,,,,,,,
"CARIDA (GB)",2022,FILLY,"HAVANA GOLD (IRE)","SIGHTSEEING (GB)","Simon West",43,-1,,,,,,,,,,
"CAROLUS MAGNUS (IRE)",2018,GELDING,"HOLY ROMAN EMPEROR (IRE)","IZOLA (GB)","Michael & David Easterby",64,-1,,,,,,,,,,
"CARTWHEEL (GB)",2022,FILLY,"LIGHTNING SPEAR (GB)","DEEP BLUE SEA (GB)","Dylan Cunha",58,-1,,,,,,,,,,
"CARWYN (IRE)",2023,GELDING,"MASAR (IRE)","GWENDOLYN (GER)","Patrick Morris",64,-5,,,,,,,,,,
"CASTLE STUART (IRE)",2022,COLT,"DUBAWI (IRE)","GOLDEN CROWN (GB)","Richard & Peter Fahey",88,-2,,,,,,,,,,
"CATCHIM (IRE)",2018,GELDING,"DOYEN (IRE)","HIGHLY PRESENTABLE (IRE)","Charles & Adam Pogson",,,,,,,99,-1,,,,
"CATERPILLAR GIRL (GB)",2021,FILLY,"TELESCOPE (IRE)","GOT AWAY (FR)","Tom George",,,,,,,91,-4,,91,-4,
"CAVIAR COWBOY (GB)",2023,COLT,"ZOUSTAR (AUS)","EVIL SPELL (GB)","James Fanshawe",85,+3,,,,,,,,,,
"CAWTHORNE BANKER (IRE)",2018,GELDING,"FLEMENSFIRTH (USA)","SHEES A DANTE (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,83,-3,
"CAWTHORNE CRACKER (IRE)",2019,GELDING,"FRAMMASSONE (IRE)","BALL PARK (IRE)","Oliver Greenall & Josh Guerriero",,,,,,,81,+1,,,,
"CAYMAN TAI (IRE)",2022,GELDING,"EARTHLIGHT (IRE)","NAMIBIE (GB)","Richard Hannon",76,-1,,,,,,,,,,
"CELANDINE (GB)",2022,FILLY,"KINGMAN (GB)","PEPITA (IRE)","Ed Walker",100,-1,,,,,,,,,,
"CELEBRATING ETHEL (IRE)",2019,FILLY,"GLENEAGLES (IRE)","DETER (GB)","Tony Carroll",46,-3,,,,,,,,,,
"CELESTIAL REIGN (IRE)",2021,GELDING,"ZOFFANY (IRE)","SARAWATI (IRE)","Micky Hammond",,,,,,,,,,91,-2,
"CELTIC JOHN (IRE)",2021,GELDING,"BURATINO (IRE)","CELTIC AVA (IRE)","Pat Phelan",48,-1,,,,,,,,,,
"CEOL DRAIOCHTA (IRE)",2021,GELDING,"TEOFILO (IRE)","CRE NA COILLE (IRE)","Adam Nicol",,,,,,,,,,105,-4,
"CEOLWULF (GB)",2016,GELDING,"FAME AND GLORY (GB)","SPIETA (IRE)","Fionn McSharry",,,,,,,98,+1,collateral,,,
"CEZARRO (IRE)",2022,GELDING,"ACCLAMATION (GB)","GRACE TO GRACE (IRE)","Ross Burdon",47,-1,,,,,,,,,,
"CHAMPONIE (GB)",2023,FILLY,"SHOWCASING (GB)","FINAL OPTION (GB)","George Boughey",83,-2,,,,,,,,,,
"CHAPEL GREEN (IRE)",2017,GELDING,"DYLAN THOMAS (IRE)","THE COOLEST CAT (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,105,-3,,,,
"CHAPMAN'S PEAK (GB)",2023,GELDING,"SHOWCASING (GB)","MELESINA (IRE)","Ed Dunlop",67,-2,,,,,,,,,,
"CHARACTER TESTING (GB)",2021,GELDING,"TIME TEST (GB)","CHARACTERIZED (GB)","Mark Walford",60,,,,,,,,,95,+3,
"CHARGING THUNDER (GB)",2018,GELDING,"WAR COMMAND (USA)","STORMING SIOUX (GB)","James Owen",88,,,,,,,,,108,-1,
"CHARLATAN (IRE)",2020,GELDING,"MASTERCRAFTSMAN (IRE)","LYIN EYES (GB)","David Simcock",51,-2,,,,,,,,,,
"CHARLES DARNAY (GB)",2023,GELDING,"PLANTEUR (IRE)","MADAME DEFARGE (IRE)","James Owen",78,+2,collateral,,,,,,,,,
"CHARTWELL JOCK (GB)",2022,GELDING,"CHURCHILL (IRE)","TIPTREE (IRE)","Seamus Mullins",78,,,,,,,,,93,-1,
"CHEMISTRY (IRE)",2021,GELDING,"KINGMAN (GB)","HIGHEST EVER (IRE)","Jennie Candlish",88,,,,,,,,,113,new,
