Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"SHOW BIZ KID (IRE)",2021,GELDING,"ACCLAMATION (GB)","FASHION THEORY (GB)","Julia & Shelley Birkett",72,+7,,,,,,,,,,
"SIAM FOX (IRE)",2018,GELDING,"PRINCE OF LIR (IRE)","FOLEGANDROS ISLAND (FR)","Kevin & Lauren Frost",61,+4,,,,,,,,,,
"SIAM PARK (IRE)",2019,GELDING,"SHOLOKHOV (IRE)","PRESENT ATTRACTION (IRE)","Joe Tizzard",,,,,,,115,,,112,+2,
"SIERRA SANDS (IRE)",2023,COLT,"SANDS OF MALI (FR)","TICKERDI (IRE)","Ed Dunlop",78,-1,,,,,,,,,,
"SIERRA SUE (IRE)",2023,FILLY,"STARMAN (GB)","AURORA SPRING (IRE)","James Horton",69,new,,,,,,,,,,
"SILENT REVOLUTION (IRE)",2016,GELDING,"SHOLOKHOV (IRE)","WATSON RIVER (IRE)","Barry Murphy",,,,,,,,,,79,-5,
"SIMBA'S PRIDE (GB)",2023,GELDING,"DREAM AHEAD (USA)","TEQUILA ROYALE (GB)","Michael Dods",69,+4,,,,,,,,,,
"SIMPLE STAR (IRE)",2018,GELDING,"SEA THE STARS (IRE)","SIMPLE ELEGANCE (USA)","Dianne Sayer",71,,,,,,,,,105,-2,
"SINGOURA (GB)",2022,FILLY,"RAJASINGHE (IRE)","BAKOURA (GB)","Gemma Tutty",64,-1,,,,,,,,,,
"SIR ALBERT (IRE)",2023,COLT,"NO NAY NEVER (USA)","AL JOZA (GB)","Andrew Balding",96,-3,,,,,,,,,,
"SIR DAVID (FR)",2022,GELDING,"MEHMAS (IRE)","HESTERYA (IRE)","Nigel Tinkler",56,-3,,,,,,,,,,
"SIR EDWARD LEAR (GB)",2021,GELDING,"MUKHADRAM (GB)","SHE'S GORGEOUS (IRE)","James Owen",72,-2,,,,,,,,,,
"SIR GALAHAD (IRE)",2021,GELDING,"CHURCHILL (IRE)","KATIYRA (IRE)","Olly Murphy",,,,,,,,,,136,+10,
"SIR WILLIAM (IRE)",2022,GELDING,"NIGHT OF THUNDER (IRE)","LADY G (IRE)","Charlie Johnston",75,-1,,,,,,,,,,
"SISTERANDBROTHER (GB)",2018,GELDING,"SIXTIES ICON (GB)","PICALILY (GB)","Joey Ramsden",61,+3,,,,,,,,,,
"SKI ANGEL (GB)",2020,FILLY,"HARRY ANGEL (IRE)","EXCELETTE (IRE)","R. Mike Smith",46,-1,,,,,,,,,,
"SKIP TO VICTORY (GB)",2023,FILLY,"TASLEET (GB)","SKIP TO MY LOU (GB)","Dylan Cunha",77,-2,,,,,,,,,,
"SKIPPER (GB)",2021,GELDING,"CALYX (GB)","SKIPINNISH (GB)","Hamad Al Jehani",89,-1,,,,,,,,,,
"SLANEY OPERA (IRE)",2018,GELDING,"SHOLOKHOV (IRE)","MISS OPERA (GB)","Nick Scholfield",,,,,,,98,-2,,,,
"SLAY QUEEN (IRE)",2023,FILLY,"ACCLAMATION (GB)","ASTERELLA (FR)","Richard Hannon",82,-3,,,,,,,,,,
"SLIGHT OF FOOT (GB)",2023,GELDING,"KINGMAN (GB)","NIMBLE THIMBLE (USA)","Harry Charlton",75,-2,,,,,,,,,,
"SMUGGLERS HAVEN (IRE)",2019,FILLY,"ELUSIVE PIMPERNEL (USA)","OUR GRACE (IRE)","Sara Bradstock",,,,,,,120,+3,,120,+5,
"SNIPE (IRE)",2017,GELDING,"SOLDIER OF FORTUNE (IRE)","PISCES (GB)","Dan Skelton",,,,,,,127,-1,,,,
"SO GRATEFUL (GB)",2018,GELDING,"SWISS SPIRIT (GB)","BOW BRIDGE (GB)","Michael & David Easterby",51,-2,,,,,,,,,,
"SO PROUD (IRE)",2021,GELDING,"SHIROCCO (GER)","ROSA DANICA (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,103,new,
"SO SMART (IRE)",2019,GELDING,"DANDY MAN (IRE)","MODEL LOOKS (IRE)","Grace Harris",60,+1,,55,+1,,,,,,,
"SOCA STAR (IRE)",2023,FILLY,"STARMAN (GB)","SOUL OF CALYPSO (GB)","Seb Spencer",68,-2,,,,,,,,,,
"SOGNIAMO (GB)",2023,FILLY,"OASIS DREAM (GB)","GRACE AND FAVOUR (GB)","David O'Meara",71,new,,,,,,,,,,
"SOLAR PASS (GB)",2022,FILLY,"PHOENIX REACH (IRE)","HIGHLAND PASS (GB)","Andrew Balding",76,+2,,,,,,,,,,
"SOMEONE'S WISH (IRE)",2020,GELDING,"BURATINO (IRE)","CRYSTAL MOUNTAIN (USA)","Patrick Morris",52,-2,,,,,,,,,,
"SOMETHING (GB)",2021,GELDING,"GOLDEN HORN (GB)","CALIPATRIA (GB)","Liam Bailey",77,+4,,,,,,,,,,
"SON OF TYRAN (GB)",2021,GELDING,"PETHER'S MOON (IRE)","LETS HOPE SO (GB)","Dan Skelton",,,,,,,78,new,,78,,
"SONG OF THE STARS (GB)",2023,FILLY,"GHAIYYATH (IRE)","SINGING SKY (GB)","James Ferguson",58,+5,,,,,,,,,,
"SOUL SEEKER (IRE)",2017,GELDING,"OASIS DREAM (GB)","MAD ABOUT YOU (IRE)","Philip Kirby",43,-1,,40,-1,,,,,,,
"SOUTH PARADE (IRE)",2021,FILLY,"INVINCIBLE ARMY (IRE)","RURAL CELEBRATION (GB)","Richard & Peter Fahey",65,-3,,,,,,,,,,
"SOUTH SHORE (GB)",2021,GELDING,"BLUE POINT (IRE)","ANGEL'S GLORY (GB)","Ruth Carr",55,-1,,,,,,,,,,
"SOVEREIGN VIEW (GB)",2023,GELDING,"MOHAATHER (GB)","VELVET VISION (GB)","James Tate",83,-1,,,,,,,,,,
"SPARTAN TIMES (GB)",2021,GELDING,"FRONTIERSMAN (GB)","LYSANDER BELLE (IRE)","Jennie Candlish",72,-2,,,,,,,,105,,
"SPECIAL DIVIDEND (GB)",2023,GELDING,"ARDAD (IRE)","DABBLE (IRE)","Dr Richard Newland & Jamie Insole",85,-2,,,,,,,,,,
"SPIORADALTA (GB)",2020,GELDING,"RAJASINGHE (IRE)","BROUGHTONS SECRET (GB)","Mark Walford",91,+3,,,,,,,,,,
"SPIRIT DREAMER (IRE)",2023,GELDING,"AUSTRALIA (GB)","QUEEN RABAB (IRE)","Andrew Balding",59,new,,,,,,,,,,
"SPIRITOFTHEBLUES (GB)",2023,FILLY,"TIME TEST (GB)","BRIDESHEAD (GB)","David O'Meara",73,-3,,,,,,,,,,
"SPOKEN TRUTH (IRE)",2021,GELDING,"FRANKEL (GB)","JOAILLIERE (IRE)","David O'Meara",86,+1,,,,,,,,,,
"SPONSOR (IRE)",2023,GELDING,"MEHMAS (IRE)","RAINBOW VALE (FR)","Brian Meehan",79,-1,,,,,,,,,,
"SPORTINGSILVERMINE (IRE)",2021,GELDING,"HOLY ROMAN EMPEROR (IRE)","PRASKOVIA (IRE)","James Owen",86,+9,,,,,,,,,,
"SQUIRE DANAGHER (GB)",2020,GELDING,"AUSTRALIA (GB)","SUNDAY BESS (JPN)","Emma Lavelle",84,new,,,,,,,,,,
"ST ANTON (IRE)",2023,COLT,"MEHMAS (IRE)","JEVA (IRE)","Richard Hannon",91,+6,,,,,,,,,,
"ST LUKES CHELSEA (GB)",2021,GELDING,"TERRITORIES (IRE)","DESERT LIAISON (GB)","Robert Walford",,,,,,,,,,87,-2,
"STAFFORDSHIRE (IRE)",2022,GELDING,"GHAIYYATH (IRE)","PORCELAIN GIRL (IRE)","Jennie Candlish",56,-1,,,,,,,,,,
"STAR OF EMERALD (FR)",2023,GELDING,"RECOLETOS (FR)","BLUE SAIL (USA)","Edward Bethell",50,-2,,,,,,,,,,
"STARLUST (GB)",2021,COLT,"ZOUSTAR (AUS)","BEYOND DESIRE (GB)","Ralph Beckett",109,-2,,,,,,,,,,
"STARMAN (FR)",2016,GELDING,"SRI PUTRA (GB)","LAMBOGHINA (GER)","Joanne Foster",,,,,,,91,-2,,91,-2,
"STATEIRA (FR)",2022,FILLY,"PERSIAN KING (IRE)","DOUDA (IRE)","Andrew Balding",105,+3,,,,,,,,,,
"STATION BAR (GB)",2023,GELDING,"OASIS DREAM (GB)","MADAME TANTZY (GB)","Eve Johnson Houghton",67,+5,,,,,,,,,,
"STAY HOPEFUL (IRE)",2020,GELDING,"WALK IN THE PARK (IRE)","J'ESPERE (IRE)","Henry Oliver",,,,,,,74,new,,74,-4,
"STEEL TIGER (IRE)",2021,GELDING,"ALMANZOR (FR)","MISSION IMPASSIBLE (IRE)","Simon & Ed Crisford",82,-2,,86,-3,,,,,,,
"STELLARMASTERPIECE (FR)",2020,FILLY,"CLOTH OF STARS (IRE)","SISTER DAM'S (IRE)","Micky Hammond",63,,,,,,,,,77,+6,
"STONEACRE (IRE)",2020,GELDING,"MEHMAS (IRE)","TARABA (IRE)","Scott Dixon",39,-1,,,,,,,,,,
"STONEACRE JOE (GB)",2023,GELDING,"SHOWCASING (GB)","FAIRY DUST (IRE)","Tim Easterby",71,-2,,,,,,,,,,
"STRAIGHT A (GB)",2021,GELDING,"ACLAIM (IRE)","STRAIGHT AWAY (GB)","Michael Appleby",70,-1,,,,,,,,,,
"STRATAGEM (FR)",2016,GELDING,"SUNDAY BREAK (JPN)","OUR ZIGA (FR)","Mickey Bowen",,,,,,,120,+8,,,,
"STRIKING A POSE (IRE)",2016,GELDING,"GETAWAY (GER)","CLONSINGLE NATIVE (IRE)","Joe Tizzard",,,,,,,,,,106,-1,
"STROMNESS (GB)",2023,GELDING,"ZOUSTAR (AUS)","CREDIBLE (GB)","Nigel Tinkler",51,-5,,,,,,,,,,
"STUDY UP (GB)",2021,GELDING,"DUE DILIGENCE (USA)","CROSS MY HEART (GB)","Mark Loughnane",63,+3,,,,,,,,,,
"STYLE KING (IRE)",2022,GELDING,"DANDY MAN (IRE)","UAE QUEEN (GB)","Chris Dwyer",61,-2,,,,,,,,,,
"STYLISH RECRUIT (IRE)",2018,GELDING,"ASK (GB)","STYLISH WAYS (IRE)","Sandy Thomson",,,,,,,,,,91,-1,
"SUDDEN FLIGHT (GB)",2022,GELDING,"ACLAIM (IRE)","LINKS DRIVE LADY (GB)","Richard Hughes",85,-1,,94,,,,,,,,
"SUDDENLY I SEE (IRE)",2023,COLT,"RIBCHESTER (IRE)","SUDDENLY (GER)","Charlie Johnston",79,-1,,,,,,,,,,
"SUGAR BABY (GB)",2018,GELDING,"MONSIEUR BOND (IRE)","SUGAR TOWN (GB)","Peter Niven",67,-2,,,,,,,,,,
"SUITCASE SMITH (GB)",2022,GELDING,"SIXTIES ICON (GB)","HOPE IS HIGH (GB)","John Berry",52,-3,,,,,,,,,,
"SUMMER HEAT (GB)",2022,FILLY,"EARTHLIGHT (IRE)","DISCERNABLE (GB)","James Owen",73,+1,,,,,,,,,,
"SUN ART (FR)",2019,GELDING,"MASKED MARVEL (GB)","LEXUS DU CHARMIL (FR)","Fergal O'Brien",,,,,,,106,-1,,106,-1,
"SUNNY ORANGE (IRE)",2020,GELDING,"EXPERT EYE (GB)","ORANGEY RED (IRE)","Tim Easterby",60,-1,,,,,,,,,,
"SUNRAY SHADOW (GB)",2019,GELDING,"BLUE BRESIL (FR)","SILVER SPINNER (GB)","Dan Skelton",,,,,,,121,+2,,121,+2,
"SUNSHINE AND ROSES (GB)",2023,FILLY,"MASSAAT (IRE)","SUNSHINEANDBUBBLES (GB)","Jack Channon",56,-3,,,,,,,,,,
"SUPREME YEATS (IRE)",2016,GELDING,"YEATS (IRE)","SUPREME BAILERINA (IRE)","Dan Skelton",,,,,,,,,,114,+5,
"SUSPENDED SENTENCE (FR)",2023,COLT,"WITHOUT PAROLE (GB)","SILVER ACT (IRE)","Michael Bell",90,-3,,,,,,,,,,
"SWEET ECHO (GB)",2023,FILLY,"A'ALI (IRE)","CAMELOPARDALIS (GB)","Philip McBride",48,-5,,,,,,,,,,
"SWEET REWARD (IRE)",2017,GELDING,"ACCLAMATION (GB)","DANGLE (IRE)","Jonathan Portman",88,+3,,,,,,,,,,
"SYNERGISM (GER)",2022,GELDING,"SOLDIER HOLLOW (GB)","SFORZA RAGAZZA (GER)","Sir Mark Prescott Bt",89,+2,,,,,,,,,,
"SYNNERS KID (IRE)",2023,GELDING,"TEN SOVEREIGNS (IRE)","ALONG THE SHORE (IRE)","Lemos De Souza",89,-2,,,,,,,,,,
"TAKE A CHILL PILL (GB)",2023,COLT,"KINGMAN (GB)","RED STARLIGHT (GB)","James Owen",74,new,,,,,,,,,,
"TALIS EVOLVERE (IRE)",2020,GELDING,"AWTAAD (IRE)","MY HENRIETTA (USA)","Richard Hannon",85,-2,,,,,,,,,,
"TALK OF NEW YORK (GB)",2023,COLT,"WOOTTON BASSETT (GB)","USHERETTE (IRE)","Charlie Appleby",112,+8,,,,,,,,,,
"TAMASHAL (IRE)",2023,COLT,"PHOENIX OF SPAIN (IRE)","EMBIYRA (IRE)","Richard Hannon",80,-1,,,,,,,,,,
"TANAKA (IRE)",2023,FILLY,"MEHMAS (IRE)","CHESHIRE PLAIN (FR)","David O'Meara",41,-1,,,,,,,,,,
"TAO ENKI (FR)",2020,GELDING,"NO RISK AT ALL (FR)","LADY NEEDLES (IRE)","Alastair Ralph",,,,,,,,,,104,-1,
"TARLAC (IRE)",2022,GELDING,"PINATUBO (IRE)","SHARJA QUEEN (GB)","Katie Scott",51,-2,,,,,,,,,,
"TAROT (GB)",2023,FILLY,"STARSPANGLEDBANNER (AUS)","ASTROLOGER (GB)","Roger Varian",84,-1,,,,,,,,,,
"TEES AGGREGATES (IRE)",2022,GELDING,"EARTHLIGHT (IRE)","CLUB PRIVE (IRE)","Adrian Nicholls",69,-1,,,,,,,,,,
"TELLING TIME (GB)",2023,GELDING,"TIME TEST (GB)","CHRISTMAS JOY (IRE)","Charlie Longsdon",48,-2,,,,,,,,,,
"TEN POUNDS (IRE)",2021,GELDING,"TEN SOVEREIGNS (IRE)","LADY FASHION (GB)","Joey Ramsden",102,+3,,,,,,,,,,
"TENZI (IRE)",2023,FILLY,"PINATUBO (IRE)","VARIO (GB)","Jamie Osborne",64,-2,,,,,,,,,,
"TERRITORIAL STAR (GB)",2023,FILLY,"TERRITORIES (IRE)","MURITZ (GB)","Rebecca Menzies",57,-3,,,,,,,,,,
"TEX (FR)",2021,GELDING,"DARK ANGEL (IRE)","SUDU QUEEN (GER)","George Baker",67,-1,,,,,,,,,,
"THANKS DAD (GB)",2020,GELDING,"TWILIGHT SON (GB)","NEVER A QUARREL (IRE)","Scott Dixon",45,-1,,56,-1,,,,,,,
"THANOS (GB)",2023,GELDING,"LOPE Y FERNANDEZ (IRE)","REEDANJAS (IRE)","Harry Charlton",74,+6,,,,,,,,,,
"THAT'S ENOUGH (GB)",2023,FILLY,"SERGEI PROKOFIEV (CAN)","SUFFICIENT (GB)","Dr Richard Newland & Jamie Insole",56,+1,,,,,,,,,,
"THATS MY BOY LUKE (GB)",2021,GELDING,"ULYSSES (IRE)","PIVOTTING (GB)","Tim Easterby",60,-1,,,,,,,,,,
"THE BITTER MOOSE (IRE)",2021,GELDING,"KODIAC (GB)","BARONESS (IRE)","Patrick Chamings",70,-1,,,,,,,,,,
"THE DARK BARON (IRE)",2022,GELDING,"DARK ANGEL (IRE)","BARONESS (IRE)","Kathy Turner",63,-1,,,,,,,,,,
"THE GAY BLADE (GB)",2019,GELDING,"MAZAMEER (IRE)","BIG MYSTERY (IRE)","Iain Jardine",61,+4,,,,,,,,,,
"THE JOKER (FR)",2023,COLT,"ZARAK (FR)","SHAIYMA (FR)","Jane Chapple-Hyam",81,+1,,,,,,,,,,
"THE KEMBLE BREWERY (GB)",2019,GELDING,"BLUE BRESIL (FR)","LEGENDARA (GB)","Kim Bailey & Mat Nicholls",,,,,,,,,,142,+4,
"THE LOST SOCK (IRE)",2023,GELDING,"COTAI GLORY (GB)","JOWANA (IRE)","Roger Varian",78,-3,,,,,,,,,,
"THE ROC HOPPER (IRE)",2019,GELDING,"SHIROCCO (GER)","BORBOLETA (IRE)","Rebecca Menzies",,,,,,,,,,76,+3,
"THE TRUANT (IRE)",2017,GELDING,"MASTERCRAFTSMAN (IRE)","INVINCIBLE CARA (IRE)","Michael Attwater",61,,,,,,,,,102,-3,
"THE WIND AND SUN (GB)",2023,FILLY,"ARDAD (IRE)","SPICY DAL (GB)","Julie Camacho",44,new,,,,,,,,,,
"THE WISE TRAVELLER (IRE)",2016,GELDING,"GETAWAY (GER)","BUTTERFLY BETTY (IRE)","Sarah Humphrey",,,,,,,,,,93,+2,
"THEATRE TOM (IRE)",2019,GELDING,"SOLDIER OF FORTUNE (IRE)","THEATRE BIRD (IRE)","Olly Murphy",,,,,,,,,,103,new,
"THEIRSHEGOES (IRE)",2017,FILLY,"COURT CAVE (IRE)","BETTY SCOTT (GB)","Sandy Thomson",,,,,,,,,,93,-1,
"THICKTHORN TOM (IRE)",2020,GELDING,"OCOVANGO (GB)","BLUME (IRE)","Dan Skelton",,,,,,,91,+6,,,,
"THIS FARH (GB)",2022,GELDING,"FAR ABOVE (IRE)","THIS GIRL (GB)","David Loughnane",75,+3,,,,,,,,,,
"THISTLE BE THE ONE (IRE)",2019,GELDING,"ARCTIC COSMOS (USA)","WHICH THISTLE (IRE)","Ben Clarke",,,,,,,94,-3,,94,-3,
"THORNABY ANNIE (IRE)",2023,FILLY,"GALILEO GOLD (GB)","VARDIYNA (FR)","Adrian Nicholls",65,+1,,,,,,,,,,
"THORNABY PEARL (GB)",2018,GELDING,"PEARL SECRET (GB)","JUNCEA (GB)","Adrian Nicholls",59,-1,,,,,,,,,,
"THUNDEROUS LOVE (GB)",2021,FILLY,"LIGHTNING SPEAR (GB)","AIR STRICKER (FR)","Jonathan Portman",68,-2,,,,,,,,,,
"TIBERIO FORCE (GB)",2019,GELDING,"LETHAL FORCE (IRE)","RIO'S ROSANNA (IRE)","Simon Whitaker",48,-2,,,,,,,,,,
"TICKETS (GB)",2019,GELDING,"ACLAIM (IRE)","CZARNA ROZA (GB)","Patrick Neville",48,-2,,,,,,,,,,
"TICKETTOTHESTARS (IRE)",2023,FILLY,"PROFITABLE (IRE)","RANALLAGH ROCKET (IRE)","Rod Millman",55,+1,,,,,,,,,,
"TIERNAN (IRE)",2022,GELDING,"DUBAWI (IRE)","JOLLIFY (IRE)","Iain Jardine",85,-5,,,,,,,,,,
"TIMBER TWELVE (GB)",2023,GELDING,"ULYSSES (IRE)","WOOD CHORUS (GB)","Michael Bell",80,-2,,,,,,,,,,
"TIME LOOP (IRE)",2021,FILLY,"LOPE DE VEGA (IRE)","FINE TIME (GB)","William Haggas",84,-2,,,,,,,,,,
"TIME TO BITE (IRE)",2015,GELDING,"SCORPION (IRE)","TIME TO ACT (GB)","Chris Honour",,,,,,,126,-1,,112,,
"TIME TO SPARKLE (GB)",2023,FILLY,"TIME TEST (GB)","SPARKLE (GB)","James Keane",58,+1,,,,,,,,,,
"TINTO (GB)",2016,GELDING,"COMPTON PLACE (GB)","AMIRAH (IRE)","Michael Dods",78,-4,,,,,,,,,,
"TITIAN (IRE)",2018,GELDING,"IFFRAAJ (GB)","LUCELLE (IRE)","Julie Camacho",73,-2,,,,,,,,,,
"TITLE ROLE (GB)",2023,COLT,"TOO DARN HOT (GB)","VALIANT GIRL (GB)","Simon & Ed Crisford",109,+3,,,,,,,,,,
"TOMMIE BEAU (IRE)",2015,GELDING,"BRIAN BORU (GB)","BAJAN GIRL (FR)","Seamus Mullins",,,,,,,127,,,130,new,
"TOMMIE'S ANGEL (IRE)",2023,FILLY,"DARK ANGEL (IRE)","GLOBAL LIGHT (IRE)","Rebecca Menzies",54,new,,,,,,,,,,
"TOO MUCH TREVOR (GB)",2021,GELDING,"MAGNA GRECIA (IRE)","WALK ON BYE (IRE)","Grace Harris",50,-1,,,,,,,,,,
"TORBADOS (GB)",2023,GELDING,"ARDAD (IRE)","EXMOUTH (GB)","Charles Hills",61,-3,,,,,,,,,,
"TOWN QUEEN (IRE)",2023,FILLY,"BLUE POINT (IRE)","MADLY TRULY (USA)","K. R. Burke",75,new,,,,,,,,,,
"TRACKER ISSUE (IRE)",2022,GELDING,"VERBAL DEXTERITY (IRE)","PAISTIUL (IRE)","Adam Nicol",50,-1,,,,,,,,,,
"TRANQUIL SEA (IRE)",2020,GELDING,"TEOFILO (IRE)","FINATA (GB)","Dan Skelton",,,,,,,,,,128,+7,
"TRAVEL AGENT (IRE)",2022,GELDING,"NO NAY NEVER (USA)","FLOWER FASHION (FR)","Adam Kirby",71,-1,,,,,,,,,,
"TREFOR (IRE)",2021,GELDING,"INVINCIBLE ARMY (IRE)","SILK BOW (GB)","Charles Hills",95,-1,,,,,,,,,,
"TRICKY TEL (GB)",2023,GELDING,"UBETTABELIEVEIT (IRE)","ARDBRAE TARA (IRE)","Hugo Palmer",84,+5,,,,,,,,,,
"TRINCULO (GB)",2023,GELDING,"CARAVAGGIO (USA)","FLIGHTY ALMIGHTY (GB)","George Baker",69,new,,,,,,,,,,
"TRIO (GB)",2023,FILLY,"TERRITORIES (IRE)","SIBLING (GB)","Eve Johnson Houghton",70,-1,,,,,,,,,,
"TRIPLE FORCE (GB)",2021,GELDING,"LAND FORCE (IRE)","TRIPLE STAR (GB)","Craig Lidster",72,-2,,,,,,,,,,
"TRIPOLI FLYER (IRE)",2019,GELDING,"GETAWAY (GER)","COLLEN BEAG (IRE)","Fergal O'Brien",72,new,,,,,,,,141,,
"TROOPER (GER)",2020,GELDING,"HUNTER'S LIGHT (IRE)","TIPSY TANGERINE (GER)","Neil Mulholland",65,new,,,,,,,,73,,
"TRUE PROMISE (GB)",2021,GELDING,"WASHINGTON DC (IRE)","IN TRUTINA (GB)","Fionn McSharry",81,+7,,,,,,,,,,
"TRUST AMY (IRE)",2023,FILLY,"STARMAN (GB)","WIZZ UP (IRE)","Gary Hanmer",74,-2,,,,,,,,,,
"TURN AND FINISH (IRE)",2021,GELDING,"WINGS OF EAGLES (FR)","TRAP QUEEN (IRE)","Steph Hollinshead",65,,,,,,,,,105,-5,
"TURPIN GOLD (GB)",2016,GELDING,"DICK TURPIN (IRE)","TAMARA (GB)","Tom Lacey",,,,,,,102,-2,,102,-2,
"TWILIGHT FUN (GB)",2020,GELDING,"TWILIGHT SON (GB)","SWEET APPLAUSE (IRE)","Chelsea Banham",79,-1,,,,,,,,,,
"TWILIGHT GUEST (GB)",2020,GELDING,"TWILIGHT SON (GB)","ASTROSECRET (GB)","George Margarson",48,-2,,,,,,,,,,
"TWILIGHT JET (IRE)",2019,GELDING,"TWILIGHT SON (GB)","MY LUCKY LIZ (IRE)","Jim & Suzi Best",89,+12,,,,,,,,,,
"TWO TO TANGO (GB)",2018,GELDING,"KAYF TARA (GB)","FOLIE DANCER (GB)","Emma Lavelle",,,,,,,107,-1,,,,
"TYPEFACE (GB)",2022,GELDING,"WOOTTON BASSETT (GB)","PHIZ (GER)","Ian Williams",52,-2,,,,,,,,,,
"TYSON (GER)",2020,GELDING,"LORD OF ENGLAND (GER)","TININA (IRE)","Dan Skelton",,,,,,,111,new,,111,+10,
"U S S CONSTITUTION (IRE)",2020,GELDING,"U S NAVY FLAG (USA)","STOR MO CHROI (IRE)","Ed Walker",59,-2,,,,,,,,,,
"UNCERTAINTY (IRE)",2023,FILLY,"MOHAATHER (GB)","FAUSTINATHEYOUNGER (IRE)","Simon Whitaker",65,-2,,,,,,,,,,
"UNCLE AL (IRE)",2019,GELDING,"LEADING LIGHT (IRE)","MILLING ROAD (IRE)","Jessica Bedi",,,,,,,83,+2,,,,
"UNCLE ALBERT (IRE)",2021,GELDING,"DRAGON PULSE (IRE)","ROCCIA BELLA (IRE)","Adrian Wintle",47,new,,,,,,,,,,
"UNCLE DON (GB)",2022,GELDING,"OASIS DREAM (GB)","BEREKA (GB)","Robert Cowell",88,+2,,,,,,,,,,
"UNJEU ROYAL (FR)",2021,GELDING,"JEU ST ELOI (FR)","UNE VOIX ROYALE (FR)","Tom Lacey",,,,,,,,,,112,-1,collateral
"UNKNOWN JOURNEY (IRE)",2022,GELDING,"INNS OF COURT (IRE)","NOTHING COMPARES (GB)","Tony Carroll",43,-3,,,,,,,,,,
"UNSPEAKABLE (IRE)",2018,GELDING,"SHOLOKHOV (IRE)","CROISE NAOFA (IRE)","Christian Williams",,,,,,,80,-1,,,,
"UNTIL DAWN (IRE)",2022,FILLY,"INVINCIBLE ARMY (IRE)","RUSH OF BLOOD (IRE)","Alan Brown",57,-2,,,,,,,,,,
"URBAN GLIMPSE (GB)",2022,GELDING,"CITYSCAPE (GB)","SNEAKY PEEK (GB)","Andrew Balding",84,-1,,,,,,,,,,
"URCHIN (GB)",2023,GELDING,"ULYSSES (IRE)","SHIP'S BISCUIT (GB)","K. R. Burke",83,new,,,,,,,,,,
"V POWER (GB)",2020,GELDING,"PROTECTIONIST (GER)","VAGABONDE (IRE)","Thomas Faulkner",61,-1,,,,,,,,,,
"VALENTINE CATCHER (GB)",2021,GELDING,"BATED BREATH (GB)","FLYCATCHER (IRE)","Tim Easterby",64,+1,,,,,,,,,,
"VALOR SPIRIT (IRE)",2023,GELDING,"ARDAD (IRE)","GREAT DAME (IRE)","Bryan Smart",70,+2,,,,,,,,,,
"VAPE (GB)",2017,GELDING,"DARK ANGEL (IRE)","PUFF (IRE)","John & Rhys Flint",61,-1,,,,,,,,,,
"VEGA'S VIRTUE (IRE)",2023,FILLY,"LUCKY VEGA (IRE)","GRACE AND VIRTUE (IRE)","Tim Easterby",57,+3,,,,,,,,,,
"VENETIAN ROMANCE (IRE)",2023,FILLY,"ST MARK'S BASILICA (FR)","DAZZLING BEAUTY (GB)","Dr Richard Newland & Jamie Insole",62,-4,,,,,,,,,,
"VENETIAN SKY (FR)",2023,FILLY,"ST MARK'S BASILICA (FR)","SAILOR MOON (IRE)","William Haggas",74,new,,,,,,,,,,
"VICTOR CEE (GB)",2023,GELDING,"VICTOR LUDORUM (GB)","ALZAHRA (GB)","Phil McEntee",66,-4,,,,,,,,,,
"VIDMIYR (IRE)",2023,COLT,"FOOTSTEPSINTHESAND (GB)","VADAIYMA (FR)","Jennie Candlish",78,+3,,,,,,,,,,
"VIETNORM (IRE)",2023,GELDING,"KESSAAR (IRE)","SEAFARING (IRE)","Adrian Keatley",56,+3,,,,,,,,,,
"VINCIAMO (GB)",2023,GELDING,"SHOWCASING (GB)","MAKE FAST (GB)","Kevin Ryan",70,-3,,,,,,,,,,
"VINGEGAARD (IRE)",2022,GELDING,"MEHMAS (IRE)","CHEVANAH (IRE)","Julie Camacho",74,-3,,,,,,,,,,
"VINO SAURO (USA)",2022,GELDING,"VINO ROSSO (USA)","STORMY NOVEL (USA)","Jamie Osborne",76,new,,,,,,,,,,
"VINTAGE FIZZ (GB)",2017,GELDING,"SULAMANI (IRE)","MILAN ATHLETE (IRE)","Jedd O'Keeffe",,,,,,,118,-3,,,,
"VOCITO (IRE)",2018,GELDING,"VOCALISED (USA)","ASTRALAI (IRE)","Olly Murphy",,,,,,,119,+4,,124,+9,
"WADACRE GEISHA (GB)",2023,FILLY,"STUDY OF MAN (IRE)","WADACRE GOGO (GB)","Charlie Johnston",54,-1,,,,,,,,,,
"WADIRUMM (IRE)",2023,FILLY,"STARMAN (GB)","GILDED HEAVEN (GB)","Archie Watson",53,-2,,,,,,,,,,
"WAHRAAN (FR)",2018,GELDING,"LE HAVRE (IRE)","AL JASSASIYAH (IRE)","Jessica Bedi",73,,,,,,,,,108,new,
"WALK ON SON (IRE)",2020,GELDING,"WALK IN THE PARK (IRE)","WALKYRIE (FR)","Lucinda Russell & Michael Scudamore",,,,,,,,,,88,-5,
